년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018.01.01,1,발전량,4.327,0.18,4.327,0,4.327,4.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.327,0,0,0,0,0,0,0,0,0
2018.01.02,1,발전량,1.936,0.081,1.936,0,1.936,1.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.936,0,0,0,0,0,0,0,0,0
2018.01.03,1,발전량,4.47,0.186,4.47,0,4.47,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0
2018.01.04,1,발전량,3.712,0.155,3.712,0,3.712,3.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.712,0,0,0,0,0,0,0,0,0
2018.01.05,1,발전량,3.569,0.149,3.569,0,3.569,3.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.569,0,0,0,0,0,0,0,0,0
2018.01.06,1,발전량,4.518,0.188,4.518,0,4.518,4.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.518,0,0,0,0,0,0,0,0,0
2018.01.07,1,발전량,1.262,0.053,1.262,0,1.262,1.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.262,0,0,0,0,0,0,0,0,0
2018.01.08,1,발전량,0.41,0.017,0.41,0,0.41,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0
2018.01.09,1,발전량,2.59,0.108,2.59,0,2.59,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0
2018.01.10,1,발전량,3.47,0.145,3.47,0,3.47,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0
2018.01.11,1,발전량,4.12,0.172,4.12,0,4.12,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0,0
2018.01.12,1,발전량,4.941,0.206,4.941,0,4.941,4.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.941,0,0,0,0,0,0,0,0,0
2018.01.13,1,발전량,2.538,0.106,2.538,0,2.538,2.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.538,0,0,0,0,0,0,0,0,0
2018.01.14,1,발전량,3.986,0.166,3.986,0,3.986,3.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.986,0,0,0,0,0,0,0,0,0
2018.01.15,1,발전량,3.832,0.16,3.832,0,3.832,3.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.832,0,0,0,0,0,0,0,0,0
2018.01.16,1,발전량,1.234,0.051,1.234,0,1.234,1.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234,0,0,0,0,0,0,0,0,0
2018.01.17,1,발전량,0.922,0.038,0.922,0,0.922,0.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922,0,0,0,0,0,0,0,0,0
2018.01.18,1,발전량,1.657,0.069,1.657,0,1.657,1.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.657,0,0,0,0,0,0,0,0,0
2018.01.19,1,발전량,3.344,0.139,3.344,0,3.344,3.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.344,0,0,0,0,0,0,0,0,0
2018.01.20,1,발전량,3.312,0.138,3.312,0,3.312,3.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.312,0,0,0,0,0,0,0,0,0
2018.01.21,1,발전량,3.501,0.146,3.501,0,3.501,3.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.501,0,0,0,0,0,0,0,0,0
2018.01.22,1,발전량,2.154,0.09,2.154,0,2.154,2.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.154,0,0,0,0,0,0,0,0,0
2018.01.23,1,발전량,5.167,0.215,5.167,0,5.167,5.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.167,0,0,0,0,0,0,0,0,0
2018.01.24,1,발전량,5.143,0.214,5.143,0,5.143,5.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.143,0,0,0,0,0,0,0,0,0
2018.01.25,1,발전량,4.369,0.182,4.369,0,4.369,4.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.369,0,0,0,0,0,0,0,0,0
2018.01.26,1,발전량,5.465,0.228,5.465,0,5.465,5.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.465,0,0,0,0,0,0,0,0,0
2018.01.27,1,발전량,4.822,0.201,4.822,0,4.822,4.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.822,0,0,0,0,0,0,0,0,0
2018.01.28,1,발전량,4.622,0.193,4.622,0,4.622,4.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.622,0,0,0,0,0,0,0,0,0
2018.01.29,1,발전량,5.065,0.211,5.065,0,5.065,5.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.065,0,0,0,0,0,0,0,0,0
2018.01.30,1,발전량,4.985,0.208,4.985,0,4.985,4.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.985,0,0,0,0,0,0,0,0,0
2018.01.31,1,발전량,2.855,0.119,2.855,0,2.855,2.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.855,0,0,0,0,0,0,0,0,0
2018.02.01,1,발전량,5.129,0.214,5.129,0,5.129,5.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.129,0,0,0,0,0,0,0,0,0
