지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),현지기압(hPa),일조(hr),시정(10m),지면온도(°C),증기압(hPa)
174,2020-01-01 00:00,-5.7,0.0,4.4,270,54,-13.5,1011.6,0.0,1926,-5.0,2.2
174,2020-01-01 01:00,-5.9,0.0,4.4,270,51,-14.4,1011.7,0.0,1972,-5.2,2.0
174,2020-01-01 02:00,-5.7,0.0,4.4,270,45,-15.7,1010.9,0.0,1957,-5.3,1.8
174,2020-01-01 03:00,-5.9,0.0,4.8,290,47,-15.4,1011.4,0.0,1985,-5.3,1.8
174,2020-01-01 04:00,-5.4,0.0,3.3,290,49,-14.4,1011.3,0.0,1991,-4.8,2.0
174,2020-01-01 05:00,-4.5,0.0,3.3,290,56,-11.9,1010.8,0.0,1970,-4.0,2.5
174,2020-01-01 06:00,-3.0,0.0,3.6,270,61,-9.4,1010.2,0.0,1990,-3.4,3.0
174,2020-01-01 07:00,-2.3,0.0,3.6,270,62,-8.6,1010.8,0.0,1972,-2.9,3.2
174,2020-01-01 08:00,-2.0,0.0,4.7,270,66,-7.5,1010.8,0.0,1682,-3.2,3.5
174,2020-01-01 09:00,-0.7,0.0,4.0,270,63,-6.8,1011.0,0.9,1863,-2.2,3.7
174,2020-01-01 10:00,1.0,0.0,5.0,290,58,-6.3,1011.4,1.0,1708,-1.0,3.8
174,2020-01-01 11:00,2.0,0.0,5.5,290,56,-5.8,1011.5,1.0,1771,-0.3,4.0
174,2020-01-01 12:00,2.4,0.0,5.8,320,55,-5.7,1010.7,1.0,1655,0.1,4.0
174,2020-01-01 13:00,3.6,0.0,4.4,290,54,-4.8,1009.8,1.0,1847,1.2,4.3
174,2020-01-01 14:00,3.1,0.0,5.6,320,55,-5.0,1009.2,1.0,1868,3.8,4.2
174,2020-01-01 15:00,3.3,0.0,5.1,320,53,-5.3,1009.2,1.0,1677,3.8,4.1
174,2020-01-01 16:00,3.4,0.0,4.6,290,54,-5.0,1009.8,1.0,1735,1.1,4.2
174,2020-01-01 17:00,2.5,0.0,4.1,320,56,-5.4,1010.3,0.9,1593,0.1,4.1
174,2020-01-01 18:00,1.5,0.0,3.4,290,60,-5.4,1010.1,0.0,1426,-0.2,4.1
174,2020-01-01 19:00,0.8,0.0,2.9,320,62,-5.6,1010.1,0.0,1410,-0.5,4.0
174,2020-01-01 20:00,0.6,0.0,4.7,290,65,-5.2,1009.6,0.0,1422,-0.9,4.2
174,2020-01-01 21:00,0.1,0.0,2.8,290,67,-5.3,1009.8,0.0,1253,-1.1,4.1
174,2020-01-01 22:00,-0.1,0.0,3.0,290,67,-5.5,1010.3,0.0,1265,-1.4,4.1
174,2020-01-01 23:00,0.0,0.0,2.5,290,68,-5.2,1010.2,0.0,975,-1.7,4.2
174,2020-01-02 00:00,-0.2,0.0,2.8,320,69,-5.2,1010.0,0.0,1207,-1.9,4.2
174,2020-01-02 01:00,-0.3,0.0,3.3,320,70,-5.1,1009.2,0.0,1147,-2.0,4.2
174,2020-01-02 02:00,-0.2,0.0,2.9,290,70,-5.0,1008.8,0.0,1135,-2.1,4.2
174,2020-01-02 03:00,-0.4,0.0,2.7,290,72,-4.8,1008.6,0.0,1107,-2.1,4.3
174,2020-01-02 04:00,0.0,0.0,3.7,290,70,-4.8,1008.3,0.0,1117,-2.0,4.3
174,2020-01-02 05:00,-0.1,0.0,3.3,270,72,-4.5,1008.2,0.0,1064,-2.0,4.4
174,2020-01-02 06:00,-0.1,0.0,3.6,290,71,-4.7,1008.2,0.0,1145,-2.0,4.3
174,2020-01-02 07:00,0.0,0.0,3.6,270,71,-4.6,1009.3,0.0,1111,-2.0,4.3
