지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
175,2019-01-01 00:00,-3.3,,4.1,360,85,4.1,-5.4,975.3,1035.7,,,,,,,,,,,,-2.1,,,,
175,2019-01-01 01:00,-3.1,,5.1,360,85,4.2,-5.2,975.1,1035.4,,,,,,,,,,,,-2,,,,
175,2019-01-01 02:00,-3.2,,4.5,340,88,4.2,-4.9,975,1035.4,,,,,,,,,,,,-2.7,,,,
175,2019-01-01 03:00,-2.9,,4.8,340,88,4.3,-4.6,975.3,1035.6,,,,,,,,,,,,-1.9,,,,
175,2019-01-01 04:00,-2.7,,5.5,340,87,4.4,-4.5,975.3,1035.6,,,,,,,,,,,,-1.8,,,,
175,2019-01-01 05:00,-2.3,,5.1,340,76,3.9,-5.9,974.2,1034.3,,,,,,,,,,,,-1.9,,,,
175,2019-01-01 06:00,-2.1,,6.7,360,75,3.9,-5.9,973.8,1033.8,,,,,,,,,,,,-2,,,,
175,2019-01-01 07:00,-2.3,,5.4,340,78,4,-5.6,974.1,1034.2,,,,,,,,,,,,-2.1,,,,
175,2019-01-01 08:00,-2.3,,4.5,340,79,4.1,-5.4,974.6,1034.7,0,,,,,,,,,,,-1.8,,,,
175,2019-01-01 09:00,-2.1,,4.9,340,79,4.2,-5.2,975.2,1035.3,0,,,,,,,,,,,-1.5,,,,
175,2019-01-01 10:00,-1.8,,4.3,340,83,4.4,-4.3,975.4,1035.4,0,,,,,,,,,,,-.9,,,,
175,2019-01-01 11:00,-.8,,4.5,320,82,4.8,-3.4,974.9,1034.7,.4,,,,,,,,,,,-.4,,,,
175,2019-01-01 12:00,-.4,,5.7,320,82,4.9,-3.1,973.9,1033.6,.3,,,,,,,,,,,.9,,,,
175,2019-01-01 13:00,0,,6.6,320,70,4.3,-4.8,973.2,1032.7,.2,,,,,,,,,,,1.6,,,,
175,2019-01-01 14:00,-.2,,6.9,320,71,4.3,-4.8,972.5,1032,.3,,,,,,,,,,,2,,,,
175,2019-01-01 15:00,-1.3,,6.4,340,80,4.4,-4.3,972.7,1032.4,.3,,,,,,,,,,,.7,,,,
175,2019-01-01 16:00,-2,,7,340,85,4.5,-4.1,973.2,1033.1,.1,,,,,,,,,,,-.3,,,,
175,2019-01-01 17:00,-2.1,,6.2,340,77,4.1,-5.5,973.9,1033.9,.1,,,,,,,,,,,-.4,,,,
175,2019-01-01 18:00,-2.7,,6,340,76,3.8,-6.3,973.9,1034.1,0,,,,,,,,,,,-.7,,,,
175,2019-01-01 19:00,-2.7,,6.1,340,75,3.8,-6.5,974.1,1034.3,,,,,,,,,,,,-1.1,,,,
175,2019-01-01 20:00,-2.6,,6.3,340,74,3.7,-6.6,974,1034.1,,,,,,,,,,,,-1.4,,,,
175,2019-01-01 21:00,-2.5,,6.7,360,72,3.7,-6.8,973.8,1033.9,,,,,,,,,,,,-1.6,,,,
175,2019-01-01 22:00,-2.6,,6.4,360,74,3.7,-6.6,973.7,1033.8,,,,,,,,,,,,-1.7,,,,
175,2019-01-01 23:00,-2.5,,6.5,340,73,3.7,-6.6,973.9,1034,,,,,,,,,,,,-1.8,,,,
175,2019-01-02 00:00,-2.6,,6,340,70,3.5,-7.3,974.4,1034.6,,,,,,,,,,,,-1.9,,,,
175,2019-01-02 01:00,-2.6,,5.1,340,69,3.5,-7.5,974.2,1034.4,,,,,,,,,,,,-2,,,,
175,2019-01-02 02:00,-2.6,,4,340,72,3.6,-6.9,974.9,1035.1,,,,,,,,,,,,-2,,,,
175,2019-01-02 03:00,-2.6,,5.1,340,68,3.4,-7.7,975.1,1035.3,,,,,,,,,,,,-2.1,,,,
175,2019-01-02 04:00,-2.6,,5.4,340,72,3.6,-6.9,974.7,1034.9,,,,,,,,,,,,-2.2,,,,
175,2019-01-02 05:00,-2.6,,4.9,360,69,3.5,-7.5,974.2,1034.4,,,,,,,,,,,,-2.3,,,,
175,2019-01-02 06:00,-2.4,,4.1,340,70,3.6,-7.1,974.5,1034.6,,,,,,,,,,,,-2.2,,,,
175,2019-01-02 07:00,-2.3,,3.2,360,74,3.8,-6.3,974.9,1035,,,,,,,,,,,,-2.1,,,,
175,2019-01-02 08:00,-2.7,,2.1,20,76,3.8,-6.3,975.6,1035.9,0,,,,,,,,,,,-2.1,,,,
175,2019-01-02 09:00,-2,,3.2,360,77,4.1,-5.5,976,1036.1,0,,,,,,,,,,,-.9,,,,
175,2019-01-02 10:00,-.6,,3.1,360,69,4.1,-5.5,976.1,1036,.6,,,,,,,,,,,.1,,,,
175,2019-01-02 11:00,-.6,,2.9,340,78,4.6,-3.9,975.8,1035.6,.8,,,,,,,,,,,.6,,,,
175,2019-01-02 12:00,-.1,,3.9,340,75,4.5,-4,974.7,1034.3,.4,,,,,,,,,,,2.4,,,,
175,2019-01-02 13:00,-.6,,3.9,340,75,4.4,-4.4,973.9,1033.6,.4,,,,,,,,,,,3,,,,
175,2019-01-02 14:00,-.1,,4.1,340,71,4.3,-4.7,973.2,1032.7,.6,,,,,,,,,,,5.4,,,,
175,2019-01-02 15:00,-.5,,4.6,360,73,4.3,-4.7,973.1,1032.7,.5,,,,,,,,,,,3.8,,,,
175,2019-01-02 16:00,-1.1,,4.5,360,77,4.3,-4.6,973.5,1033.3,.3,,,,,,,,,,,1.9,,,,
175,2019-01-02 17:00,-1.6,,4,340,75,4.1,-5.4,973.7,1033.6,.1,,,,,,,,,,,-.3,,,,
175,2019-01-02 18:00,-2,,4.4,360,75,4,-5.8,974.2,1034.2,0,,,,,,,,,,,-.3,,,,
