,0th model,1th model,2th model,3th model,4th model,5th model,6th model,7th model,8th model,9th model,10th model,y_test
0,0.0,0.0,137.70502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0
7,0.0,0.0,4219.1,0.0,0.0,0.0,0.0,4384.869,6624.5576,4113.5425,0.0,14200.0
8,0.0,0.0,29746.568,0.0,2850.0022,5727.853,0.0,17713.77,20401.021,13194.363,0.0,44800.00000000001
9,0.0,0.0,54551.156,0.0,16147.659,18813.936,0.0,29466.582,32619.799,21397.045,0.0,49500.0
10,0.0,0.0,74739.81,0.0,26427.361,30280.475,0.0,37949.16,41642.37,27580.477,0.0,55300.0
11,0.0,0.0,88684.23,0.0,32790.234,38776.66,0.0,42369.887,46604.62,31060.094,0.0,75200.0
12,0.0,0.0,95660.375,0.0,35163.93,43532.38,0.0,42638.785,47274.004,31598.744,0.0,76800.0
13,0.0,0.0,95523.85,0.0,33941.63,44304.65,0.0,39091.074,43884.15,29332.406,0.0,67000.0
14,0.0,0.0,88680.805,0.0,29735.26,41297.35,0.0,32264.854,36974.86,24674.277,0.0,67900.0
15,0.0,0.0,75807.7,0.0,23255.77,35055.117,0.0,22765.959,27252.258,18227.69,0.0,56400.0
16,0.0,0.0,57538.29,0.0,15273.676,26349.197,0.0,11237.748,15512.258,10726.747,0.0,39000.0
17,0.0,0.0,34283.703,0.0,6618.2593,16089.056,0.0,0.0,2657.3616,3004.4036,0.0,19900.0
18,0.0,0.0,6200.26,0.0,0.0,5277.7725,0.0,0.0,0.0,0.0,0.0,7900.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
